Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Acanthodactylus boskianus,15832616.620,7.200,19.634,1.293,2.833,0.452,6.000,0.778,54.000,135.000,2878.000,357.000,0.330,10.404,Carnivorous,Palearctic,11670734.950,Shai Meiri pers. Comm.,Lizards
Acanthodactylus schreiberi,9257.242,3.966,18.450,1.266,2200.000,3.342,0.010,-2.000,15.250,210.000,464.750,207.500,0.083,0.279,Carnivorous,Palearctic,9058.422,"Yalçinkaya, D. & Göçmen, B. (2012). A new subspecies from Anatolia, Acanthodactylus schreiberi Boulenger, 1879 ataturi n . ssp . (Squamata: Lacertidae). Biharean Biol., 6, 19–31.",Lizards
Acanthodactylus scutellatus,9945094.396,6.998,14.158,1.151,39.667,1.598,0.500,-0.301,48.000,63.000,1889.000,299.000,0.215,7.767,Carnivorous,Palearctic,8951224.623,"Busack, S.D. (1975). Biomass estimates and thermal environment of a population of the fringe-toed lizard, Acanthodactylus pardalis. Br. J. Herpetol., 5, 457–459.",Lizards
Adolfus africanus,314902.543,5.498,7.015,0.846,8.000,0.903,0.125,-0.903,14.000,632.750,536.750,336.750,0.244,9.629,Carnivorous,Afrotropic,314850.869,"Vonesh, J.R. (2001). Patterns of richness and abundance in a tropical african Leaf-litter Herpetofauna. Biotropica, 33, 502–510.",Lizards
Agama agama,8327891.051,6.921,117.761,2.071,93.900,1.973,0.140,-0.854,28.000,841.000,1201.000,309.000,0.476,15.931,Omnivorous,Afrotropic,8303792.749,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Agama rueppelli,264252.726,5.422,28.510,1.455,4.000,0.602,0.140,-0.854,28.500,318.000,381.500,347.000,0.484,4.004,Carnivorous,Afrotropic,264252.725,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. Afr. J. Ecol., 12, 49–62.",Lizards
Algyroides marchi,3536.879,3.549,3.508,0.545,213.000,2.328,0.280,-0.553,8.500,72.500,98.750,222.000,0.000,0.000,Carnivorous,Palearctic,3536.879,"Rubio, J.L. & Carrascal, L.M. (1994). Habitat selection and conservation of an endemic Spanish lizard Algyroides marchi (Reptilia, Lacertidae). Biol. Conserv., 70, 245–250.",Lizards
Ameiva ameiva,11650960.930,7.066,298.538,2.475,4.615,0.664,2.600,0.415,25.000,954.000,778.000,313.000,0.177,12.485,Carnivorous,Neotropic,11624482.770,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Anolis capito,276024.266,5.441,20.370,1.309,16.670,1.222,0.060,-1.222,17.000,834.000,766.500,342.000,0.259,4.242,Carnivorous,Neotropic,274656.861,"Heinen, L.T. (1992). Comparisons of the leaf litter herpetofauna in abandoned cacao plantation and primary rain forest in Costa Rica: some implications for faunal restoration. Biotropica, 24, 431–439.",Lizards
Anolis carpenteri,50425.642,4.703,1.945,0.289,9.000,0.954,0.006,-2.222,34.500,1235.000,173.000,637.500,0.374,3.154,Carnivorous,Neotropic,50146.622,"Lieberman, S.S. (1986). Ecology of the leaf litter herpetofauna of a neotropical rain forest: La Selva, Costa Rica. Ecología de la herpetofauna del mantillo del suelo de un bosque neotropical: La Selva, Costa Rica. Acta Zool. Mex., 15, 1–72.",Lizards
Anolis fuscoauratus,7691547.921,6.886,2.979,0.474,18.077,1.257,2.600,0.415,14.000,787.000,272.000,195.000,0.135,13.442,Carnivorous,Neotropic,7682132.662,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
