"","id_no","Range_size","binomial"
"1","10004",296899047765.197,"Heteromys anomalus"
"5","10005",226886690652.021,"Heteromys australis"
"6","10007",167156988500.325,"Heteromys gaumeri"
"7","10009",479258430.773522,"Heteromys nelsoni"
"8","10010",1327432860.92192,"Heteromys oresterus"
"9","10032",155982355248.49,"Choeropsis liberiensis"
"12","10053",424712964288.433,"Hippocamelus antisensis"
"13","10054",129676364090.592,"Hippocamelus bisulcus"
"22","10103",1233077313288.71,"Hippopotamus amphibius"
"23","10107",23023671583.25,"Hipposideros papua"
"29","10108",219042951528.188,"Hipposideros ridleyi"
"32","10109",2324233829657.82,"Hipposideros abae"
"34","10110",4475406516452.16,"Hipposideros armiger"
"40","10111",3677529791579.91,"Hipposideros ater"
"77","10112",1635968664410.38,"Hipposideros beatus"
"79","10113",1584431740920.28,"Hipposideros bicolor"
"99","10114",626416365.069448,"Hipposideros breviceps"
"100","10115",6346904863836.43,"Hipposideros caffer"
"103","10116",217484074999.081,"Hipposideros calcaratus"
"128","10117",11192489068.6768,"Hipposideros camerunensis"
"129","10118",1964927005317.96,"Hipposideros cervinus"
"203","10119",2203629641388.89,"Hipposideros cineraceus"
"211","10120",513160069732.082,"Hipposideros commersoni"
"212","10121",986316261.736382,"Hipposideros coronatus"
"213","10122",1988090071.33884,"Hipposideros corynophyllus"
"214","101228458",12257346826853.9,"Coendou prehensilis"
"216","10123",2684566704.31818,"Hipposideros coxi"
"217","10124",2405499243.96223,"Hipposideros crumeniferus"
"218","10125",135223991684.205,"Hipposideros curtus"
"219","10126",2331074171190.49,"Hipposideros cyclops"
"222","10127",3331876741.36819,"Hipposideros demissus"
"223","10128",3318837887415.96,"Hipposideros diadema"
"274","10129",24099261907.0958,"Hipposideros dinops"
"280","10130",1251661751061.9,"Hipposideros doriae"
"283","10131",19888856080.015,"Hipposideros durgadasi"
"284","10132",764978900742.347,"Hipposideros dyacorum"
"286","10133",1985791726.28372,"Hipposideros edwardshilli"
"287","10134",1334571119791.19,"Hipposideros fuliginosus"
"289","10135",2263748087153.81,"Hipposideros fulvus"
"291","10136",2343871049307.64,"Hipposideros galeritus"
