,shape_area,binomial
0,124011076962.77419,Phyllonycteris poeyi
1,83263878227.57144,Phyllonycteris poeyi
2,181689224924.98734,Phyllotis darwini
3,466119684692.54755,Oxymycterus angularis
4,37419076687.69764,Oxymycterus hiska
5,12494782474.11416,Paraxerus lucifer
6,155395503.48894224,Phalanger matanim
7,4638741955.19854,Carpomys phaeurus
8,593421558.7457007,Rusa marianna
9,386548423219.24414,Petaurista leucogenys
10,98759712.85183895,Rusa marianna
11,136748682.25913784,Rusa marianna
12,114868803.33902326,Rusa marianna
13,1717204.5601037017,Rusa marianna
14,1546673977.1079884,Prosciurillus abstrusus
15,3538696253.508959,Pseudantechinus mimulus
16,114388720341.68925,Ptenochirus jagori
17,96480861989.71004,Ptenochirus jagori
18,71709982.30693573,Pteropus alecto
19,6181192.953115999,Pteropus alecto
20,5047501.05296878,Pteropus alecto
21,10235382.539911645,Pteropus fundatus
22,47760277220.76316,Rattus mordax
23,41027727743.64242,Rhinolophus euryale
24,4912429955794.993,Rhinolophus euryale
25,529123799.41053814,Rhinolophus inops
26,113667555625.86345,Rhinolophus philippinensis
27,114389695752.6416,Rhinolophus inops
28,6869304540.06308,Rhinolophus philippinensis
29,21457716157.961906,Antechinus bellus
30,4481541094579.529,Rhipidomys leucodactylus
31,11903972778.637882,Rhinolophus virgo
32,492574246.5707032,Rhinolophus virgo
33,211060351286.77707,Rhinolophus virgo
34,817520759355.1052,Rhinonicteris aurantia
35,13169580989677.895,Saccopteryx bilineata
36,73647533131543.78,Sciurus vulgaris
37,963041143957.7235,Scotophilus nux
38,3926071768.3691826,Solomys sapientis
39,45695265197.52654,Stylodipus sungorus
40,13612826663759.256,Tamandua tetradactyla
41,739084197023.2386,Trachypithecus cristatus
42,433491443333.1547,Trachypithecus cristatus
43,935940696988.9896,Vampyriscus brocki
44,406128691837.92145,Lasiurus atratus
45,4533720837002.77,Ovibos moschatus
46,685365772598.7804,Ovibos moschatus
47,4200602172337.7725,Ovibos moschatus
48,7251680735549.583,Ovibos moschatus
49,375781194793.39087,Ovibos moschatus
50,301416331111.6188,Ovibos moschatus
51,1949092702368.0342,Ovibos moschatus
52,2261504847224.7993,Lepus mandshuricus
53,103074780349.54611,Galidia elegans
54,1522574133418.0112,Anathana ellioti
55,2840098193501.193,Cebus albifrons
56,325931821.9698403,Micronycteris megalotis
57,10727140527.15239,Carpitalpa arendsi
58,15808702777814.398,Hemiechinus auritus
59,334648076013.689,Hemiechinus collaris
60,439568723834.97504,Crocidura dsinezumi
61,10417882086437.88,Crocidura fuscomurina
62,108298645791.24768,Papio anubis
63,680214812213.1578,Lepus granatensis
64,2264813616702.1235,Crocidura lusitania
65,470187469537.2943,Suncus madagascariensis
66,2484549176802.461,Sorex longirostris
67,11045371.196403781,Peromyscus maniculatus
68,75780188944.2155,Peromyscus maniculatus
69,355816695890.69507,Urotrichus talpoides
70,52266066162.901375,Urotrichus talpoides
71,26671574814.771927,Urotrichus talpoides
72,511422256997.60504,Tupaia dorsalis
73,617634602509.4966,Tupaia tana
74,13439457918550.748,Genetta maculata
75,648338539143.799,Aotus azarae
76,2196009455810.7207,Aotus azarae
77,4891586203.756712,Isothrix sinnamariensis
78,979887400.9387965,Notopteris macdonaldi
79,315593550034.5363,Neotamias townsendii
80,2066155758.5806458,Petaurus norfolcensis
81,23772623861.81148,Saguinus martinsi
82,144506184.9400437,Eonycteris spelaea
83,1550906415648.9324,Glauconycteris poensis
84,140391976959.06458,Myomyscus verreauxii
85,776644512.9104363,Pteropus ornatus
86,18984324027.438984,Pteropus ornatus
87,448988747.69000065,Pteropus seychellensis
88,1157721.2250762843,Pteropus seychellensis
89,815705108.5235758,Microgale monticola
90,2874318.4236120847,Pteropus seychellensis
91,2608913.493924853,Pteropus seychellensis
92,1680628.9420759603,Pteropus seychellensis
93,1263636.879671308,Pteropus seychellensis
94,10719486.162346618,Pteropus seychellensis
95,417117599122.58563,Cuniculus taczanowskii
96,76434594.86943506,Pteralopex flanneryi
97,3268893465.95187,Hadromys yunnanensis
98,3249472174.052747,Punomys lemminus
99,216055974549.83157,Trachypithecus phayrei
100,379727801806.53656,Trachypithecus phayrei
101,270830895729.82257,Akodon mollis
102,131637759457.20052,Akodon lutescens
103,39694894.98848037,Pteropus tonganus
104,244537265.10893163,Rousettus amplexicaudatus
105,264599003123.7804,Andinomys edax
106,4738177538.762592,Tylonycteris pachypus
107,4820572931746.161,Panthera uncia
108,995500620661.842,Panthera uncia
109,5654145099.966098,Uromys porculus
110,206835756067.2188,Uropsilus soricipes
111,38881010747767.55,Vespertilio murinus
112,5425841225.798781,Vespertilio murinus
113,951326.8298119337,Dobsonia praedatrix
114,9253980235895.848,Xerus erythropus
115,25297929637.908825,Petaurista elegans
116,3036868106.7290235,Microcebus rufus
117,276671181493.9046,Xerus princeps
118,1519295300.150803,Lepilemur ankaranensis
119,2686075768009.1265,Apodemus witherbyi
120,861851001087.1445,Carollia sowelli
121,7159501096.264393,Phalanger mimicus
122,26361055303.149128,Hipposideros scutinares
123,133815552220.54884,Dipodomys simulans
