"","Range_size"
"10004",296899047765.197
"10005",226886690652.021
"10007",167156988500.325
"10009",479258430.773522
"10010",1327432860.92192
"10032",155982355248.49
"10053",424712964288.433
"10054",129676364090.592
"10103",1233077313288.71
"10107",23023671583.25
"10108",219042951528.188
"10109",2324233829657.82
"10110",4475406516452.16
"10111",3677529791579.91
"10112",1635968664410.38
"10113",1584431740920.28
"10114",626416365.069448
"10115",6346904863836.43
"10116",217484074999.081
"10117",11192489068.6768
"10118",1964927005317.96
"10119",2203629641388.89
"10120",513160069732.082
"10121",986316261.736382
"10122",1988090071.33884
"101228458",12257346826853.9
"10123",2684566704.31818
"10124",2405499243.96223
"10125",135223991684.205
"10126",2331074171190.49
"10127",3331876741.36819
"10128",3318837887415.96
"10129",24099261907.0958
"10130",1251661751061.9
"10131",19888856080.015
"10132",764978900742.347
"10133",1985791726.28372
"10134",1334571119791.19
"10135",2263748087153.81
"10136",2343871049307.64
"10137",23215652568.5156
"10138",6665217938.44906
"10139",475032203.135152
"10140",1270860127513.88
"10141",410888101.571562
"10142",712586188905.241
"10143",3287880639737.63
"10144",96007516464.5951
"10145",1013286182270.56
"10146",12286432384.9034
"10147",66492708362.3724
"10148",242444657195.57
"10149",31351577758.5706
"10150",943711899215.24
"10151",116471973395.379
"10152",68407703.2348614
"10153",150981483210.682
"10154",2840896125826.48
"10155",2242962080126.93
"10156",47480391366.9062
"10157",9062002167485.19
"10160",76339284619.9856
"10161",254475116.584925
"10162",1225278452423.64
"10163",489413649849.979
"10164",42530116723.66
"10165",48815989246.929
"10166",33302602228.0447
"10167",5571097586104.12
"10170",3013918723371.13
"10200",696900409664.841
"10201",462170269673.091
"10202",3290996151384.81
"10203",3135711793534.56
"10211",214221357175.202
"10217",2878505626911.08
"10218",766923361301.978
"10219",295487686971.172
"10220",9319852064317.57
"102208365",6800066863848.95
"10259",332781883488.378
"10274",23460487003951.4
"10276",2290717350795.5
"10278",588929011.968439
"10279",17217021737.0925
"10280",2216952565.73188
"10281",239879553906.394
"10282",387198511577.307
"10283",2240781541026.77
"10300",13395889233942.3
"10310",3705392625847.59
"10311",777784062.941635
"10312",840159447.996683
"10313",35333443408.5318
"10314",65462774652.2504
"10329",181922921718.129
"10341",2450415469354.62
"10543",385727494944.918
"10547",6004480273.5115
"10548",638118632141.316
"10550",39231970780.2976
"10552",121613228591.164
"10588",4593310147.32895
"10589",9948263564.78934
"10590",252081703274.609
"10591",53952081877.9432
"10592",491928866807.478
"10593",2618028517334.19
"10594",1510866928827.95
"10595",280113453189.578
"10598",201149236045.265
"10600",1399086875408.19
"10602",62204631.2473888
"10604",11504736981.8923
"10605",1105517398716.49
"10606",616074768.173468
"10607",1145174858465.05
"10608",222066227.10557
"10632",109116730750.989
"10633",110796727102.895
"10635",32128582953.1106
"10636",9499847510.7055
"10642",76378552783.9337
"10643",26480854418.0046
"10714",333319306.430515
"10734",2860594080067.7
"10746",5369174356585.92
"10748",7623760022241.53
"10749",5786176384873.71
"10750",732627517848.783
"10751",7063667050013.08
"10752",168922880863.629
"10753",12398136566.1463
"10754",429467752493.618
"10755",1506490961339.36
"10761",151153426986.525
"10762",5460046409.93264
"10763",4513471609.08686
"10764",7181818155.14929
"10790",1390365361406.46
"10794",619575925937.948
"10796",277784746769.236
"10826",30053451169.7114
"10845",806688737033.083
"10846",1242491133.24292
"10851",145039906841.564
